matrix_name,matrix_size,nnz,solver,tolerance,max_iters,rhs,precision,prec,prec_kv,prec_label,construction_time,is_converged,iters,true_relres_2,final_relres_2,final_relerr_2,final_relerr_A,solve_time,solve_status,condition_number
HB/1138_bus,1138,4054,cg,1e-12,2276,ones,dd,none,,CG (DD),0.0,0,2276.0,8.688743e-12,8.688743e-12,8.307813e-11,4.54215e-11,1.019,max_iterations,12284163.7277516
HB/494_bus,494,1666,cg,1e-12,988,ones,dd,none,,CG (DD),0.0,0,988.0,3.581565e-11,3.581565e-11,1.785627e-09,5.438549e-10,0.188,max_iterations,3890550.25264951
HB/662_bus,662,2474,cg,1e-12,1324,ones,dd,none,,CG (DD),0.0,1,652.0,9.539925e-13,9.539925e-13,1.099065e-11,8.964226e-12,0.173,reached_tol,827123.298742376
HB/685_bus,685,3249,cg,1e-12,1370,ones,dd,none,,CG (DD),0.0,1,531.0,7.337048e-13,7.337048e-13,6.145097e-11,2.132111e-11,0.166,reached_tol,531041.158184522
Bates/Chem97ZtZ,2541,7361,cg,1e-12,5082,ones,dd,none,,CG (DD),0.0,1,142.0,6.032202e-13,6.032202e-13,6.835929e-12,2.785537e-12,0.13,reached_tol,462.64570022165
UTEP/Dubcova1,16129,253009,cg,1e-12,32258,ones,dd,none,,CG (DD),0.0,1,131.0,9.449381e-13,9.449381e-13,2.412635e-12,1.643958e-12,2.068,reached_tol,2624.65086759102
Pajek/Journals,124,12068,cg,1e-12,248,ones,dd,none,,CG (DD),0.0,1,135.0,5.822917e-13,5.822917e-13,1.164303e-10,1.035134e-11,0.086,reached_tol,19383.3273909702
MathWorks/Kuu,7102,340200,cg,1e-12,14204,ones,dd,none,,CG (DD),0.0,1,697.0,7.905399e-13,7.905399e-13,1.527905e-12,1.542493e-12,12.456,reached_tol,32552.8584093147
Oberwolfach/LF10,18,82,cg,1e-12,36,ones,dd,none,,CG (DD),0.0,1,27.0,2.654013e-14,2.654013e-14,3.768886e-15,1.731826e-14,0.0,reached_tol,5090100.00000014
Oberwolfach/LF10000,19998,99982,cg,1e-12,39996,ones,dd,none,,CG (DD),0.0,1,25004.0,5.136584e-13,5.136584e-13,0.02047691,8.562971e-08,229.557,reached_tol,6.49568703641025e+18
Oberwolfach/LFAT5,14,46,cg,1e-12,28,ones,dd,none,,CG (DD),0.0,1,19.0,1.714217e-22,1.714217e-22,1.8976950000000002e-23,9.271716e-23,0.0,reached_tol,165128409.901192
Oberwolfach/LFAT5000,19994,79966,cg,1e-12,39988,ones,dd,none,,CG (DD),0.0,0,39988.0,5.383626e-06,5.383626e-06,0.7757939,0.001111414,330.366,max_iterations,4.83414751639535e+17
MathWorks/Muu,7102,170134,cg,1e-12,14204,ones,dd,none,,CG (DD),0.0,1,93.0,8.333283e-13,8.333283e-13,4.902807e-12,1.645725e-12,0.918,reached_tol,155.063391148182
ACUSIM/Pres_Poisson,14822,715804,cg,1e-12,29644,ones,dd,none,,CG (DD),0.0,1,2472.0,9.872089e-13,9.872089e-13,1.260245e-12,1.421944e-12,92.413,reached_tol,3198340.84967885
JGD_Trefethen/Trefethen_150,150,2040,cg,1e-12,300,ones,dd,none,,CG (DD),0.0,1,118.0,6.806016e-13,6.806016e-13,2.091758e-12,1.116961e-12,0.015,reached_tol,1125.31727740611
JGD_Trefethen/Trefethen_20,20,158,cg,1e-12,40,ones,dd,none,,CG (DD),0.0,1,20.0,5.735603e-29,5.736211e-29,3.5746e-29,4.849776e-29,0.0,reached_tol,95.8368917982367
JGD_Trefethen/Trefethen_200,200,2890,cg,1e-12,400,ones,dd,none,,CG (DD),0.0,1,141.0,8.547745e-13,8.547745e-13,3.889327e-12,1.634772e-12,0.026,reached_tol,1590.45260243962
